2022-08-19 15:35:46,928 | INFO | Started client
2022-08-19 15:36:36,357 | INFO | Started client
2022-08-19 15:46:00,603 | INFO | Started client
2022-08-19 15:51:25,806 | INFO | Started client
2022-08-19 15:59:03,991 | INFO | Started client
2022-08-19 15:59:35,989 | INFO | Started client
2022-08-19 16:07:04,897 | INFO | Started client
2022-08-19 16:08:37,178 | INFO | Started client
2022-08-19 16:10:34,922 | INFO | Started client
2022-08-19 16:16:21,331 | INFO | Started client
2022-08-19 16:25:06,255 | INFO | Started client
2022-08-19 16:25:06,256 | INFO | Start strftime: 2022-08-19_16-25-06
2022-08-19 16:25:11,256 | INFO | Waiting for connection to host: 192.168.1.234, port 1026...
2022-08-19 16:25:16,257 | INFO | Waiting for connection to host: 192.168.1.234, port 1026...
2022-08-19 16:25:17,561 | INFO | Keyboard interrupt
2022-08-19 16:25:23,492 | INFO | Started client
2022-08-19 16:26:24,019 | INFO | Started client
2022-08-19 16:28:43,721 | INFO | Started client
2022-08-19 16:28:57,402 | INFO | Started client
2022-08-19 16:30:45,172 | INFO | Started client
2022-08-19 16:33:45,644 | INFO | Started client
