,25AgoudiColorDLC_resnet50_wbargbJan25shuffle1_182000,image,oks
0,0,color_2023-01-09 15_31_28.332235.png,0.945746760096124
1,1,color_2023-01-09 15_42_25.319423.png,0.9441821921975344
2,2,color_2023-01-09 15_43_37.014326.png,0.9864078273157255
3,3,color_2023-01-09 15_45_47.379684.png,0.9820366364367007
4,4,color_2023-01-09 15_55_00.550829.png,0.9796229760181208
5,5,color_2023-01-09 15_57_22.068461.png,0.9828900512990792
6,6,color_2023-01-09 16_00_24.987108.png,0.9894687694548135
7,7,color_2023-01-09 16_02_13.200158.png,0.9916250178065208
8,8,color_2023-01-09 16_03_11.430699.png,0.9910880215197714
9,9,color_2023-01-09 16_16_19.316358.png,0.9189020229208081
10,10,color_2023-01-09 16_16_19.972930.png,0.9555659896614318
11,11,color_2023-01-09 16_19_35.884372.png,0.8284457885403815
12,12,color_2023-01-09 16_19_37.078464.png,0.9943726600460915
13,13,color_2023-01-09 16_20_00.614971.png,0.9846664702662329
14,14,color_2023-01-09 16_24_28.071233.png,0.989712049809901
15,15,color_2023-01-09 16_27_28.708392.png,0.9922073809703259
16,16,color_2023-01-09 16_31_54.212443.png,0.9937768823100974
17,17,color_2023-01-09 16_32_29.351675.png,0.9793704609933092
18,18,color_2023-01-09 16_39_30.291730.png,0.6207899297444086
19,19,color_2023-01-09 16_46_16.917268.png,0.976340826038848
20,20,color_2023-01-09 16_50_30.404556.png,0.9836781419862242
21,21,color_2023-01-09 16_50_31.880877.png,0.9810297935914076
22,22,color_2023-01-09 16_54_57.087961.png,0.9552913143945434
23,23,color_2023-01-09 17_02_21.274561.png,0.9206538794913444
24,24,color_2023-01-09 17_09_34.324411.png,0.9900935151490136
