,25BlackColorDLC_resnet50_wbargbJan25shuffle1_182000,image,oks
0,0,color_2023-01-06 15_07_33.654372.png,0.999250868646878
1,1,color_2023-01-06 15_10_23.106316.png,0.985994410192987
2,2,color_2023-01-06 15_11_43.237343.png,0.750915045077813
3,3,color_2023-01-06 15_19_17.678151.png,0.7200206370510402
4,4,color_2023-01-06 15_22_08.267547.png,0.9947381053116893
5,5,color_2023-01-06 15_24_01.174848.png,0.9864129338500092
6,6,color_2023-01-06 15_26_06.023031.png,0.9942951950206853
7,7,color_2023-01-06 15_35_02.255376.png,0.9728413077479494
8,8,color_2023-01-06 15_37_02.536834.png,0.9984227299464566
9,9,color_2023-01-06 15_40_15.971994.png,0.9934129179701259
10,10,color_2023-01-06 15_42_26.075395.png,0.7619545396618778
11,11,color_2023-01-06 16_06_12.360147.png,0.9959340745129441
12,12,color_2023-01-06 16_06_44.921502.png,0.9497175039209798
13,13,color_2023-01-06 16_08_19.363713.png,0.7667574792477815
14,14,color_2023-01-06 16_09_23.595649.png,0.9100473434655392
15,15,color_2023-01-06 16_11_06.135730.png,0.845817310736785
16,16,color_2023-01-06 16_17_03.360184.png,0.6918036007255247
17,17,color_2023-01-06 16_17_07.862413.png,0.9926879901239066
18,18,color_2023-01-06 16_19_06.293811.png,0.9993405332664
19,19,color_2023-01-06 16_23_17.452253.png,0.73962729363708
20,20,color_2023-01-06 16_23_56.052743.png,0.998584222453911
21,21,color_2023-01-06 16_25_20.909678.png,0.916187564163882
22,22,color_2023-01-06 16_38_53.280986.png,0.9939247304225649
23,23,color_2023-01-06 16_41_23.585284.png,0.9854717350631768
24,24,color_2023-01-06 16_43_48.501744.png,0.9598476672434721
