,25BlackDepthDLC_resnet50_wbaJan24shuffle1_182000,image,oks
0,0,depth_2023-01-06 15_07_33.654372.png,0.9870058681876472
1,1,depth_2023-01-06 15_10_23.106316.png,0.9666114541592711
2,2,depth_2023-01-06 15_11_43.237343.png,0.9800697386525496
3,3,depth_2023-01-06 15_19_17.678151.png,0.9723844750288996
4,4,depth_2023-01-06 15_22_08.267547.png,0.9998931601803885
5,5,depth_2023-01-06 15_24_01.174848.png,0.9965923815224085
6,6,depth_2023-01-06 15_26_06.023031.png,0.9997531001005892
7,7,depth_2023-01-06 15_35_02.255376.png,0.9983571398414792
8,8,depth_2023-01-06 15_37_02.536834.png,0.9800971551795119
9,9,depth_2023-01-06 15_40_15.971994.png,0.9996696050578793
10,10,depth_2023-01-06 15_42_26.075395.png,0.9880835154184078
11,11,depth_2023-01-06 16_06_12.360147.png,0.9913174557475921
12,12,depth_2023-01-06 16_06_44.921502.png,0.9771248877304142
13,13,depth_2023-01-06 16_08_19.363713.png,0.9576290158361437
14,14,depth_2023-01-06 16_09_23.595649.png,0.9925903432219724
15,15,depth_2023-01-06 16_11_06.135730.png,0.7226108066213183
16,16,depth_2023-01-06 16_17_03.360184.png,0.9996433442216996
17,17,depth_2023-01-06 16_17_07.862413.png,0.984228809957188
18,18,depth_2023-01-06 16_19_06.293811.png,0.9864254206043355
19,19,depth_2023-01-06 16_23_17.452253.png,0.9675948187374812
20,20,depth_2023-01-06 16_23_56.052743.png,0.9632334866333319
21,21,depth_2023-01-06 16_25_20.909678.png,0.9274512658690842
22,22,depth_2023-01-06 16_38_53.280986.png,0.909535514449103
23,23,depth_2023-01-06 16_41_23.585284.png,0.8475981404974624
24,24,depth_2023-01-06 16_43_48.501744.png,0.9946643756917681
