,25WhiteColorDLC_resnet50_wbargbJan25shuffle1_182000,image,oks
0,0,color_2023-01-10 16_28_02.683197.png,0.9959251704062838
1,1,color_2023-01-10 16_29_46.141649.png,0.9943878710503757
2,2,color_2023-01-10 16_32_14.548437.png,0.9960657969550667
3,3,color_2023-01-10 16_33_35.192536.png,0.9963828279645878
4,4,color_2023-01-10 16_34_10.520460.png,0.9976086402382152
5,5,color_2023-01-10 16_39_46.023794.png,0.9951184611187227
6,6,color_2023-01-10 16_42_25.523812.png,0.9880239675782782
7,7,color_2023-01-10 16_50_46.314056.png,0.9966044676837053
8,8,color_2023-01-10 16_52_40.675346.png,0.41234949524148856
9,9,color_2023-01-10 17_01_59.825432.png,0.8499758244548081
10,10,color_2023-01-10 17_11_23.699994.png,0.9955137283377494
11,11,color_2023-01-10 17_19_53.091964.png,0.8107084638427763
12,12,color_2023-01-10 17_24_04.050822.png,0.9969683307205156
13,13,color_2023-01-10 17_26_33.571119.png,0.9961178435411151
14,14,color_2023-01-10 17_27_34.327011.png,0.9926248430067584
15,15,color_2023-01-10 17_34_49.570812.png,0.9969497629231668
16,16,color_2023-01-10 17_37_02.792492.png,0.9964533632845759
17,17,color_2023-01-10 17_38_49.576180.png,0.996379570164343
18,18,color_2023-01-10 17_39_40.805574.png,0.9989667236668599
19,19,color_2023-01-10 17_41_23.152687.png,0.9939076739236515
20,20,color_2023-01-10 17_48_19.850792.png,0.9944849829517295
21,21,color_2023-01-10 17_50_29.424980.png,0.9986097612792207
22,22,color_2023-01-10 17_52_21.263041.png,0.9278745609438935
23,23,color_2023-01-10 17_55_07.738751.png,0.9955044320043364
24,24,color_2023-01-10 18_00_39.484092.png,0.9900507937526186
