,25WhiteDepthDLC_resnet50_wbaJan24shuffle1_182000,image,oks
0,0,depth_2023-01-10 16_28_02.683197.png,0.9976160754916583
1,1,depth_2023-01-10 16_29_46.141649.png,0.9676254643434705
2,2,depth_2023-01-10 16_32_14.548437.png,0.9432540047360194
3,3,depth_2023-01-10 16_33_35.192536.png,0.9668106360697027
4,4,depth_2023-01-10 16_34_10.520460.png,0.9993304621681252
5,5,depth_2023-01-10 16_39_46.023794.png,0.9995722277379291
6,6,depth_2023-01-10 16_42_25.523812.png,0.9947272028493307
7,7,depth_2023-01-10 16_50_46.314056.png,0.9202763995627563
8,8,depth_2023-01-10 16_52_40.675346.png,0.951268319432945
9,9,depth_2023-01-10 17_01_59.825432.png,0.9186950558816371
10,10,depth_2023-01-10 17_11_23.699994.png,0.9659682511251078
11,11,depth_2023-01-10 17_19_53.091964.png,0.9865208826053232
12,12,depth_2023-01-10 17_24_04.050822.png,0.9767219165423319
13,13,depth_2023-01-10 17_26_33.571119.png,0.9842510226968468
14,14,depth_2023-01-10 17_27_34.327011.png,0.9645479632454308
15,15,depth_2023-01-10 17_34_49.570812.png,0.9993418020796792
16,16,depth_2023-01-10 17_37_02.792492.png,0.9573153537410058
17,17,depth_2023-01-10 17_38_49.576180.png,0.9980448643133057
18,18,depth_2023-01-10 17_39_40.805574.png,0.9570289367920207
19,19,depth_2023-01-10 17_41_23.152687.png,0.9351216441054065
20,20,depth_2023-01-10 17_48_19.850792.png,0.7838292042580564
21,21,depth_2023-01-10 17_50_29.424980.png,0.9998266115507038
22,22,depth_2023-01-10 17_52_21.263041.png,0.9966796976359953
23,23,depth_2023-01-10 17_55_07.738751.png,0.9878729976411031
24,24,depth_2023-01-10 18_00_39.484092.png,0.9320547955158764
